folio,nro,upm,ms02_0216,ms01_0101_1a,ms01_0101_1b,ms01_0101_1c,ms02_0217,ms02_0218,ms02_0219_1,ms02_0219_2,ms02_0220,ms02_0221,ms02_0222,ms02_0223,ms02_0224,ms02_0224_1,ms02_0225,ms02_0225_cod,estrato,departamento,area,ponderadorm,b3,v008,ms02_0223_o
111-000157-A-0311,2.0,111-000157-A,1.0,2.0,9.0,2023.0,1. UNICO,1. HOMBRE,8.0,2013.0,1. SI,10.0,1. SI,3.0,,,,,111,1. Chuquisaca,1. Urbana,0.7845184267388088,1364.0,1485.0,3.0
111-000157-A-0311,2.0,111-000157-A,2.0,2.0,9.0,2023.0,1. UNICO,1. HOMBRE,3.0,2021.0,1. SI,2.0,1. SI,4.0,,,,,111,1. Chuquisaca,1. Urbana,0.7845184267388088,1455.0,1485.0,4.0
114-002040-A-0111,1.0,114-002040-A,1.0,25.0,9.0,2023.0,1. UNICO,1. HOMBRE,11.0,2015.0,1. SI,7.0,1. SI,2.0,,,,,114,1. Chuquisaca,1. Urbana,0.7442776878062954,1391.0,1485.0,2.0
114-002040-A-0111,1.0,114-002040-A,2.0,25.0,9.0,2023.0,1. UNICO,1. HOMBRE,10.0,2022.0,1. SI,0.0,1. SI,3.0,,,,,114,1. Chuquisaca,1. Urbana,0.7442776878062954,1474.0,1485.0,3.0
111-000186-A-0241,2.0,111-000186-A,1.0,7.0,9.0,2023.0,1. UNICO,2. MUJER,2.0,2001.0,1. SI,22.0,1. SI,3.0,,,,,111,1. Chuquisaca,1. Urbana,0.4270246620459571,1214.0,1485.0,3.0
111-000186-A-0241,2.0,111-000186-A,2.0,7.0,9.0,2023.0,1. UNICO,1. HOMBRE,9.0,2004.0,1. SI,18.0,1. SI,4.0,,,,,111,1. Chuquisaca,1. Urbana,0.4270246620459571,1257.0,1485.0,4.0
111-000186-A-0241,2.0,111-000186-A,3.0,7.0,9.0,2023.0,1. UNICO,2. MUJER,9.0,2006.0,1. SI,16.0,1. SI,5.0,,,,,111,1. Chuquisaca,1. Urbana,0.4270246620459571,1281.0,1485.0,5.0
111-000186-A-0241,2.0,111-000186-A,4.0,7.0,9.0,2023.0,1. UNICO,1. HOMBRE,8.0,2008.0,1. SI,15.0,1. SI,6.0,,,,,111,1. Chuquisaca,1. Urbana,0.4270246620459571,1304.0,1485.0,6.0
111-000186-A-0241,2.0,111-000186-A,5.0,7.0,9.0,2023.0,1. UNICO,1. HOMBRE,9.0,2011.0,1. SI,12.0,1. SI,7.0,,,,,111,1. Chuquisaca,1. Urbana,0.4270246620459571,1341.0,1485.0,7.0
111-000186-A-0241,2.0,111-000186-A,6.0,7.0,9.0,2023.0,1. UNICO,1. HOMBRE,1.0,2014.0,1. SI,9.0,1. SI,8.0,,,,,111,1. Chuquisaca,1. Urbana,0.4270246620459571,1369.0,1485.0,8.0
111-000186-A-0281,2.0,111-000186-A,1.0,8.0,9.0,2023.0,1. UNICO,2. MUJER,11.0,2007.0,1. SI,15.0,1. SI,3.0,,,,,111,1. Chuquisaca,1. Urbana,0.4270246620459571,1295.0,1485.0,3.0
111-000186-A-0281,2.0,111-000186-A,2.0,8.0,9.0,2023.0,1. UNICO,2. MUJER,8.0,2015.0,1. SI,8.0,1. SI,4.0,,,,,111,1. Chuquisaca,1. Urbana,0.4270246620459571,1388.0,1485.0,4.0
111-000186-A-0281,2.0,111-000186-A,3.0,8.0,9.0,2023.0,1. UNICO,2. MUJER,10.0,2022.0,1. SI,0.0,1. SI,5.0,,,,,111,1. Chuquisaca,1. Urbana,0.4270246620459571,1474.0,1485.0,5.0
111-000186-A-0301,2.0,111-000186-A,1.0,7.0,9.0,2023.0,1. UNICO,1. HOMBRE,1.0,2002.0,1. SI,21.0,2. NO,0.0,,,,,111,1. Chuquisaca,1. Urbana,0.4270246620459571,1225.0,1485.0,0.0
111-000186-A-0301,2.0,111-000186-A,2.0,7.0,9.0,2023.0,1. UNICO,1. HOMBRE,5.0,2003.0,1. SI,20.0,1. SI,3.0,,,,,111,1. Chuquisaca,1. Urbana,0.4270246620459571,1241.0,1485.0,3.0
111-000186-A-0261,2.0,111-000186-A,1.0,7.0,9.0,2023.0,1. UNICO,2. MUJER,7.0,2013.0,1. SI,10.0,1. SI,3.0,,,,,111,1. Chuquisaca,1. Urbana,0.4270246620459571,1363.0,1485.0,3.0
111-000186-A-0261,2.0,111-000186-A,2.0,7.0,9.0,2023.0,1. UNICO,1. HOMBRE,9.0,2015.0,1. SI,7.0,1. SI,4.0,,,,,111,1. Chuquisaca,1. Urbana,0.4270246620459571,1389.0,1485.0,4.0
112-000389-A-0221,2.0,112-000389-A,1.0,11.0,9.0,2023.0,1. UNICO,1. HOMBRE,8.0,2004.0,1. SI,19.0,1. SI,3.0,,,,,112,1. Chuquisaca,1. Urbana,0.4056465806484956,1256.0,1485.0,3.0
112-000389-A-0221,2.0,112-000389-A,2.0,11.0,9.0,2023.0,1. UNICO,2. MUJER,7.0,2006.0,1. SI,17.0,1. SI,4.0,,,,,112,1. Chuquisaca,1. Urbana,0.4056465806484956,1279.0,1485.0,4.0
112-000389-A-0221,2.0,112-000389-A,3.0,11.0,9.0,2023.0,1. UNICO,2. MUJER,5.0,2012.0,1. SI,11.0,1. SI,5.0,,,,,112,1. Chuquisaca,1. Urbana,0.4056465806484956,1349.0,1485.0,5.0
152-004014-D-0031,2.0,152-004014-D,1.0,25.0,10.0,2023.0,1. UNICO,2. MUJER,6.0,2008.0,1. SI,15.0,1. SI,3.0,,,,,122,1. Chuquisaca,2. Rural,0.5491435839090938,1302.0,1486.0,3.0
152-004014-D-0031,2.0,152-004014-D,2.0,25.0,10.0,2023.0,1. UNICO,1. HOMBRE,7.0,2014.0,1. SI,9.0,1. SI,4.0,,,,,122,1. Chuquisaca,2. Rural,0.5491435839090938,1375.0,1486.0,4.0
152-004014-D-0031,2.0,152-004014-D,3.0,25.0,10.0,2023.0,1. UNICO,2. MUJER,9.0,2017.0,1. SI,6.0,1. SI,5.0,,,,,122,1. Chuquisaca,2. Rural,0.5491435839090938,1413.0,1486.0,5.0
152-004014-D-0031,2.0,152-004014-D,4.0,25.0,10.0,2023.0,1. UNICO,2. MUJER,9.0,2019.0,1. SI,4.0,1. SI,6.0,,,,,122,1. Chuquisaca,2. Rural,0.5491435839090938,1437.0,1486.0,6.0
152-004014-D-0161,1.0,152-004014-D,1.0,24.0,10.0,2023.0,1. UNICO,1. HOMBRE,9.0,2010.0,1. SI,13.0,1. SI,2.0,,,,,122,1. Chuquisaca,2. Rural,0.5491435839090938,1329.0,1486.0,2.0
152-004014-D-0161,1.0,152-004014-D,2.0,24.0,10.0,2023.0,1. UNICO,2. MUJER,12.0,2014.0,1. SI,8.0,1. SI,3.0,,,,,122,1. Chuquisaca,2. Rural,0.5491435839090938,1380.0,1486.0,3.0
152-004014-D-0161,1.0,152-004014-D,3.0,24.0,10.0,2023.0,2. MULTIPLE,1. HOMBRE,6.0,2016.0,1. SI,7.0,1. SI,4.0,,,,,122,1. Chuquisaca,2. Rural,0.5491435839090938,1398.0,1486.0,4.0
